year,name,height_in,weight_lbs,40,bench,vertical,broad_jump,shuttle,3_cone
2020,Quintez Cephus,72.88,202,4.73,23,38.5,124,4.33,7.2
2020,Chase Claypool,76.25,238,4.42,19,40.5,126,4.37,7.08
2020,Tyrie Cleveland,74.0,205,4.46,13,39.5,126,4.27,7.02
2020,Isaiah Coulter,73.88,198,4.45,13,36.0,121,4.62,7.28
2020,Gabriel Davis,74.0,216,4.54,14,35.0,124,4.59,7.08
2020,Quartney Davis,73.25,201,4.54,14,35.5,121,4.27,7.02
2020,Devin Duvernay,70.5,200,4.39,13,35.5,123,4.2,7.13
2020,Bryan Edwards,74.75,212,4.55,16,35.5,121,4.28,7.05
2020,Chris Finke,70.0,184,4.57,7,40.0,119,4.23,6.99
2020,Aaron Fuller,70.75,188,4.59,12,34.0,118,4.23,7.14
2020,Antonio Gandy-Golden,76.0,223,4.6,22,36.0,127,4.55,7.33
2020,Stephen Guidry,76.0,200,4.47,13,34.0,125,4.46,7.31
2020,K.J. Hamler,68.63,178,4.55,15,34.0,118,4.22,6.99
2020,Tee Higgins,75.63,216,4.59,16,31.0,10,4.53,7.05
2020,John Hightower,73.5,189,4.43,12,38.5,122,4.21,7.07
2020,K.J. Hill,71.88,196,4.6,17,32.5,114,4.24,7.0
2020,Isaiah Hodgins,75.63,210,4.61,9,36.5,124,4.12,7.01
2020,Trishton Jackson,72.75,197,4.5,13,36.0,117,4.24,7.0
2020,Justin Jefferson,73.25,202,4.43,14,37.5,126,4.27,7.02
2020,Van Jefferson,73.5,200,4.54,13,35.0,120,4.24,7.0
2020,Jauan Jennings,75.13,215,4.72,16,29.0,119,4.28,7.05
2020,Jerry Jeudy,73.0,193,4.45,13,35.0,120,4.53,7.0
2020,Collin Johnson,77.63,222,4.55,17,35.0,121,4.26,7.04
2020,Juwan Johnson,76.0,230,4.58,14,33.0,124,4.37,6.94
2020,Tyler Johnson,73.38,206,4.54,14,35.0,121,4.27,7.02
2020,Tony Jones,71.0,224,4.68,13,32.5,119,4.21,7.18
2020,Cedarian Lamb,73.63,198,4.5,11,34.5,124,4.24,7.0
2020,Kalija Lipscomb,71.88,207,4.57,16,32.0,127,4.27,7.02
2020,Austin Mack,73.5,208,4.59,14,31.5,117,4.42,7.02
2020,Denzel Mims,74.88,207,4.38,16,38.5,131,4.43,6.66
2020,Darnell Mooney,70.0,176,4.38,9,37.0,124,4.22,6.99
2020,K.J. Osborn,72.0,206,4.48,18,37.5,123,4.35,7.0
2020,Aaron Parker,73.63,209,4.57,12,26.5,112,4.23,6.94
2020,Dezmon Patmon,76.0,228,4.48,15,36.0,132,4.38,7.28
2020,Donovan Peoples-Jones,73.63,212,4.48,16,44.5,139,4.28,7.05
2020,Michael Pittman,76.0,223,4.52,13,36.5,121,4.14,6.96
2020,James Proche,70.63,201,4.54,20,34.5,121,4.4,7.27
2020,Jalen Reagor,70.63,206,4.47,17,42.0,138,4.46,7.31
2020,Kendrick Rogers,76.0,204,4.51,17,35.5,124,4.48,7.13
2020,Henry Ruggs,71.0,188,4.27,12,42.0,131,4.23,6.99
2020,Laviska Shenault,72.63,227,4.58,17,35.0,121,4.26,7.04
