,Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
235,2020,Laviska Shenault,Colorado,WR,72.63,227,,4.58,17,,,,
236,2020,Darrell Stewart,Michigan State,WR,74.00,216,,,15,35.0,117,,
237,2020,Freddie Swain,Florida,WR,72.00,199,,4.46,16,36.5,124,4.26,7.05
238,2020,Jeff Thomas,Miami (FL),WR,68.88,170,,4.45,,36.5,125,,
239,2020,Binjimen Victor,Ohio State,WR,75.75,198,,4.60,9,35.0,128,,7.10
240,2020,Quez Watkins,Southern Mississippi,WR,72.13,185,,4.35,,36.5,125,4.36,7.28
241,2020,Cody White,Michigan State,WR,75.00,215,,4.66,,35.5,120,4.52,7.19
242,2019,J.J. Arcega-Whiteside,Stanford,WR,74.00,225,,4.50,,34.0,119,4.41,7.23
243,2019,Jaelan Austin,Texas Christian,WR,71.75,194,,,4,,,,
244,2019,Alex Bachman,Wake Forest,WR,71.38,195,,4.47,17,33.0,127,4.28,6.71
245,2019,Miles Boykin,Notre Dame,WR,75.75,220,,4.42,12,43.5,140,4.07,6.77
246,2019,Tyre Brady,Marshall (WV),WR,74.88,211,,4.76,12,32.0,117,4.25,7.24
247,2019,A.J. Brown,Mississippi,WR,72.50,226,,4.49,19,36.5,120,4.25,7.00
248,2019,Marquise Brown,Oklahoma,WR,69.38,166,,,,,,,
249,2019,Shun Brown,Arizona,WR,68.25,185,,4.72,,,114,4.30,7.06
250,2019,Emmanuel Butler,Northern Arizona,WR,75.00,217,,4.75,11,36.0,115,4.22,7.41
251,2019,Hakeem Butler,Iowa State,WR,77.63,227,,4.48,18,36.0,128,4.16,7.09
252,2019,Parris Campbell,Ohio State,WR,71.88,205,,4.31,11,40.0,135,4.03,
253,2019,Juston Christian,Marist,WR,71.63,196,,4.49,16,36.0,126,4.50,7.32
254,2019,Jamal Custis,Syracuse,WR,76.13,214,,4.50,,34.5,124,4.46,7.23
255,2019,Felton Davis,Michigan State,WR,75.50,211,,,21,,,,
256,2019,Ryan Davis,Auburn,WR,69.88,189,,4.63,12,35.0,124,4.23,7.09
257,2019,Jakari Dillard,Central Arkansas,WR,75.25,210,,,,,,,
